Date,Channel,Data Source,Campaign Name,Spend,Impressions,Clicks,Video Views,Conversions
01/01/2025,Programmatic,StackAdapt,Win-Back Outreach,3886.85,205423,373,28221,18
01/01/2025,Organic,Google organic,Win-Back Outreach,0,16488,836,0,117
01/01/2025,Paid Social,Linkedin ads,Back to Basics,3012.69,111732,1539,18211,49
01/01/2025,Organic,Direct Traffic,Elite Rewards Program,0,8742,1558,0,142
01/01/2025,Paid Social,Facebook ads,Elite Rewards Program,2955.44,110891,505,26448,69
01/01/2025,Paid Search,Google ads,Global Reach Outreach,4874.36,16895,1545,0,52
01/01/2025,Paid Search,Amazon ads,Wonderland Drive,2155.01,32545,4827,0,174
01/01/2025,Paid Search,Amazon ads,Eco-Forward Initiative,1925.63,28847,3778,0,141
01/01/2025,Organic,Google organic,Eco-Forward Initiative,0,14949,1598,0,113
01/02/2025,Organic,Direct Traffic,Elite Rewards Program,0,18769,1679,0,142
01/02/2025,Programmatic,Google Display & Video 360,Wonderland Drive,1897.04,517614,443,22319,12
01/02/2025,Paid Search,Amazon ads,Loyalty First,2502.58,36686,3207,0,81
01/02/2025,Paid Search,Amazon ads,Eco-Forward Initiative,1127.7,20829,3014,0,90
01/02/2025,Organic,Google organic,Eco-Forward Initiative,0,7271,1365,0,75
01/02/2025,Programmatic,StackAdapt,Win-Back Outreach,1344.8,566245,482,14217,6
01/02/2025,Organic,Google organic,Win-Back Outreach,0,18798,1964,0,96
01/02/2025,Paid Social,Facebook ads,Spark Frenzy,4001.68,67185,2230,23197,92
01/02/2025,Organic,Direct Traffic,Spark Frenzy,0,12882,1734,0,99
01/02/2025,Paid Search,Google ads,Global Reach Outreach,1163.41,32277,1965,0,102
01/02/2025,Programmatic,StackAdapt,Global Reach Outreach,3536.66,634508,723,16080,14
01/02/2025,Paid Social,Linkedin ads,Back to Basics,3484.06,118502,2360,15617,23
01/02/2025,Programmatic,Google Display & Video 360,Back to Basics,1986.37,448546,553,31835,13
01/03/2025,Programmatic,Google Display & Video 360,Wonderland Drive,4121.36,581402,562,31941,8
01/03/2025,Paid Search,Amazon ads,Wonderland Drive,1601.11,48544,1490,0,142
01/03/2025,Paid Search,Amazon ads,Eco-Forward Initiative,4492.72,37496,3442,0,121
01/03/2025,Organic,Google organic,Eco-Forward Initiative,0,10017,1052,0,123
01/03/2025,Programmatic,StackAdapt,Win-Back Outreach,3626.56,451529,221,30559,12
01/03/2025,Organic,Google organic,Win-Back Outreach,0,9379,1829,0,105
01/03/2025,Paid Social,Facebook ads,Spark Frenzy,1141.55,67716,2369,27533,28
01/03/2025,Organic,Direct Traffic,Spark Frenzy,0,16458,776,0,103
01/03/2025,Paid Social,Linkedin ads,Back to Basics,2753.85,132730,1338,10602,63
01/03/2025,Paid Search,Google ads,Global Reach Outreach,1514.52,40281,4604,0,72
01/03/2025,Programmatic,StackAdapt,Global Reach Outreach,3621.51,201151,711,43417,15
01/03/2025,Paid Social,Facebook ads,Elite Rewards Program,4125.52,115758,671,18681,29
01/04/2025,Paid Search,Amazon ads,Loyalty First,4830.4,21359,2551,0,184
01/04/2025,Paid Social,Facebook ads,Loyalty First,4312.93,81721,1385,29311,97
01/04/2025,Programmatic,Google Display & Video 360,Wonderland Drive,4323.03,667685,556,33744,14
01/04/2025,Paid Search,Amazon ads,Wonderland Drive,4027.46,14980,4952,0,179
01/04/2025,Paid Social,Linkedin ads,Back to Basics,2856.09,129757,649,28143,94
01/04/2025,Programmatic,Google Display & Video 360,Back to Basics,3804.43,548977,741,10272,11
01/04/2025,Organic,Direct Traffic,Elite Rewards Program,0,17550,653,0,74
01/04/2025,Paid Social,Facebook ads,Elite Rewards Program,4892.03,108476,1792,29439,53
01/04/2025,Paid Search,Amazon ads,Eco-Forward Initiative,4591.34,36166,1249,0,155
01/04/2025,Organic,Google organic,Eco-Forward Initiative,0,5545,1714,0,109
01/04/2025,Programmatic,StackAdapt,Win-Back Outreach,4275.35,462428,617,43378,20
01/04/2025,Organic,Google organic,Win-Back Outreach,0,9287,1038,0,105
01/05/2025,Programmatic,Google Display & Video 360,Wonderland Drive,2994.43,710675,399,23302,12
01/05/2025,Programmatic,StackAdapt,Win-Back Outreach,1058.01,266831,769,19708,6
01/05/2025,Organic,Google organic,Win-Back Outreach,0,16897,1341,0,86
01/05/2025,Paid Search,Amazon ads,Loyalty First,2940.12,30703,3996,0,63
01/05/2025,Paid Social,Facebook ads,Loyalty First,3107.97,102627,2383,20091,66
01/05/2025,Paid Search,Amazon ads,Eco-Forward Initiative,4800.45,49716,1107,0,183
01/05/2025,Organic,Google organic,Eco-Forward Initiative,0,18849,1880,0,44
01/05/2025,Organic,Direct Traffic,Spark Frenzy,0,7343,1058,0,82
01/06/2025,Paid Search,Amazon ads,Loyalty First,2065.85,48674,1882,0,71
01/06/2025,Paid Social,Facebook ads,Loyalty First,2895.64,93749,1504,10079,28
01/06/2025,Paid Social,Linkedin ads,Back to Basics,1648.28,75633,740,9873,94
01/06/2025,Programmatic,Google Display & Video 360,Back to Basics,2302.77,417158,219,10038,19
01/06/2025,Paid Social,Facebook ads,Spark Frenzy,3909.49,56984,2055,13772,51
01/06/2025,Organic,Direct Traffic,Spark Frenzy,0,14898,1664,0,78
01/06/2025,Organic,Direct Traffic,Elite Rewards Program,0,18200,850,0,49
01/06/2025,Paid Search,Amazon ads,Eco-Forward Initiative,3226.43,33628,2017,0,95
01/06/2025,Organic,Google organic,Eco-Forward Initiative,0,11236,1853,0,83
01/06/2025,Programmatic,Google Display & Video 360,Wonderland Drive,1702.81,463981,358,16131,8
01/06/2025,Paid Search,Amazon ads,Wonderland Drive,2560.15,39055,1927,0,147
01/06/2025,Programmatic,StackAdapt,Win-Back Outreach,4580.32,616894,463,21860,5
01/06/2025,Organic,Google organic,Win-Back Outreach,0,9746,1232,0,60
01/07/2025,Organic,Direct Traffic,Elite Rewards Program,0,18248,706,0,89
01/07/2025,Paid Social,Facebook ads,Elite Rewards Program,2361.64,62022,915,12331,40
01/07/2025,Paid Social,Linkedin ads,Back to Basics,3047.62,147686,1416,10344,48
01/07/2025,Programmatic,Google Display & Video 360,Back to Basics,2660.75,620718,349,16396,17
01/07/2025,Programmatic,StackAdapt,Win-Back Outreach,1628.29,521385,424,22283,17
01/07/2025,Organic,Google organic,Win-Back Outreach,0,5007,1310,0,131
01/07/2025,Paid Search,Google ads,Global Reach Outreach,1586.19,13681,1381,0,199
01/07/2025,Programmatic,StackAdapt,Global Reach Outreach,3574.62,725359,275,16000,20
01/07/2025,Paid Social,Facebook ads,Spark Frenzy,2151.61,69764,1896,22785,21
01/08/2025,Programmatic,StackAdapt,Win-Back Outreach,1697.42,511711,698,43124,7
01/08/2025,Organic,Google organic,Win-Back Outreach,0,18232,674,0,145
01/08/2025,Paid Social,Linkedin ads,Back to Basics,2639.35,145461,793,27532,64
01/08/2025,Programmatic,Google Display & Video 360,Back to Basics,4068.66,463029,210,25845,9
01/08/2025,Programmatic,Google Display & Video 360,Wonderland Drive,2846.89,255846,527,33863,18
01/08/2025,Paid Search,Amazon ads,Wonderland Drive,2114.82,35894,3899,0,162
01/08/2025,Paid Search,Amazon ads,Loyalty First,3493.36,17292,2105,0,114
01/08/2025,Paid Social,Facebook ads,Loyalty First,1108.61,63542,2191,18797,26
01/08/2025,Paid Search,Amazon ads,Eco-Forward Initiative,4313.95,34408,2720,0,72
01/08/2025,Organic,Google organic,Eco-Forward Initiative,0,5760,1530,0,88
01/08/2025,Paid Search,Google ads,Global Reach Outreach,1590.84,41094,1412,0,138
01/08/2025,Programmatic,StackAdapt,Global Reach Outreach,1076.51,568758,563,25224,5
01/08/2025,Organic,Direct Traffic,Elite Rewards Program,0,11257,1824,0,85
01/08/2025,Paid Social,Facebook ads,Spark Frenzy,2450.29,57910,2404,5757,79
01/08/2025,Organic,Direct Traffic,Spark Frenzy,0,13046,1273,0,46
01/09/2025,Programmatic,StackAdapt,Win-Back Outreach,3432.65,550362,777,49224,11
01/09/2025,Organic,Direct Traffic,Elite Rewards Program,0,16172,601,0,139
01/09/2025,Paid Social,Facebook ads,Elite Rewards Program,3308.06,122802,1930,21100,44
01/09/2025,Programmatic,Google Display & Video 360,Wonderland Drive,2181.43,689925,638,31759,7
